"","PlayerID","PlayerTrueName","Team","MinOnCourt","PossForOnCourt","PossOppOnCourt","PointsForOnCourt","PointsOppOnCourt","OffRtgOnCourt","DefRtgOnCourt","OverallRtgOnCourt","ORebForOnCourt","ORebOppOnCourt","DRebForOnCourt","DRebOppOnCourt","ORebRateOnCourt","DRebRateOnCourt","MinOffCourt","PossForOffCourt","PossOppOffCourt","PointsForOffCourt","PointsOppOffCourt","OffRtgOffCourt","DefRtgOffCourt","OverallRtgOffCourt","ORebForOffCourt","ORebOppOffCourt","DRebForOffCourt","DRebOppOffCourt","ORebRateOffCourt","DRebRateOffCourt","OverallRtgOnCourtMinusOffCourt","ORebRateOnCourtMinusOffCourt","DRebRateOnCourtMinusOffCourt","TotalScore","PointsForOnCourt Score","PointsOppOnCourt Score","ORebForOnCourt Score","ORebOppOnCourt Score","DRebForOnCourt Score","DRebOppOnCourt Score","PointsForOffCourt Score","PointsOppOffCourt Score","ORebForOffCourt Score","ORebOppOffCourt Score","DRebForOffCourt Score","DRebOppOffCourt Score"
"65",170,"Lewis, Rashard","ORL",985.8667,1834,1829,1979,1930,107.9062,105.5221,2.3841,287,299,669,670,0.2999,0.6911,181.1333,328,339,348,353,106.0976,104.1298,1.9678,64,54,120,117,0.3536,0.6897,0.4163,-0.0537,0.0014,726.081280671211,100,100,94.1368078175896,94.8895899053628,100,100,22.2548161120841,22.3094170403587,25.2112676056338,22.3287671232877,22.7413127413127,22.2093023255814
"60",151,"Turkoglu, Hedo","ORL",933.6667,1719,1714,1874,1834,109.0169,107.0012,2.0157,269,273,626,624,0.3012,0.6963,233.3333,443,454,453,449,102.2573,98.8987,3.3587,82,80,163,163,0.3347,0.6708,-1.343,-0.0335,0.0255,721.50177601471,95.2200303490137,95.5163466528282,88.8599348534202,87.5078864353312,94.2152466367713,93.8116591928251,26.3922942206655,26.1838565022422,29.7746478873239,28.7397260273973,27.7220077220077,27.5581395348837
"59",149,"Howard, Dwight","ORL",902.7333,1668,1658,1759,1758,105.4556,106.0314,-0.5757,275,282,605,621,0.3069,0.6821,264.2667,494,510,568,525,114.9798,102.9412,12.0386,76,71,184,166,0.314,0.7216,-12.6143,-0.0071,-0.0395,720.442228425198,89.9848254931715,91.9667877529839,90.6188925081433,90.0630914826498,91.390134529148,93.4080717488789,30.9238178633975,29.2511210762332,28.2535211267606,26.5205479452055,30.1544401544402,27.906976744186
"107",308,"Alston, Rafer","ORL",740.25,1386,1381,1476,1447,106.4935,104.7791,1.7144,226,226,503,522,0.3021,0.69,426.75,776,787,851,836,109.6649,106.2262,3.4388,125,127,286,265,0.3205,0.6925,-1.7244,-0.0184,-0.0025,708.989782486963,77.1016691957511,77.441619097042,76.2540716612378,74.1640378548896,77.6681614349776,80.0896860986547,42.0753064798599,41.8026905829596,40.6760563380282,40.3287671232877,41.969111969112,39.4186046511628
"68",186,"Bryant, Kobe","LAL",894.8833,1705,1698,1925,1755,112.9032,103.3569,9.5463,307,317,607,604,0.337,0.6569,171.1167,327,334,327,340,100,101.7964,-1.7964,57,56,129,114,0.3333,0.6973,11.3427,0.0037,-0.0404,707.263532818148,97.5417298937785,91.8266735858848,100,100,91.6591928251121,91.1210762331839,21.4273204903678,21.7847533632287,23.4366197183099,22.8219178082192,23.7837837837838,21.8604651162791
"74",197,"Gasol, Pau","LAL",885.9333,1677,1682,1881,1735,112.1646,103.151,9.0136,302,313,607,584,0.3409,0.6598,180.0667,355,350,371,360,104.507,102.8571,1.6499,62,60,129,134,0.3163,0.6825,7.3637,0.0246,-0.0227,706.154839413683,95.5386949924127,90.8925791385573,98.5342019543974,98.8643533123028,91.6591928251121,88.4304932735426,23.1611208406305,22.5919282511211,24.7042253521127,23.8082191780822,23.7837837837838,24.1860465116279
"41",98,"Pietrus, Mickael","ORL",617.7167,1137,1158,1225,1209,107.7397,104.4041,3.3355,202,199,413,411,0.3295,0.6748,549.2833,1025,1010,1102,1074,107.5122,106.3366,1.1756,149,154,376,376,0.2838,0.7094,2.1599,0.0457,-0.0346,700.275502947467,65.6752655538695,66.3258951738454,69.2182410423453,66.4984227129337,65.5605381165919,65.1569506726457,51.9658493870403,51.4080717488789,46.7605633802817,46.986301369863,52.3938223938224,52.3255813953488
"197",788,"Lee, Courtney","ORL",549.55,1021,1033,1114,1090,109.1087,105.5179,3.5908,161,178,365,369,0.3038,0.6722,617.45,1141,1135,1213,1193,106.3103,105.1101,1.2001,190,175,424,418,0.3125,0.7078,2.3907,-0.0087,-0.0356,694.767828700305,60.6221547799696,60.768033212247,57.1986970684039,60.5362776025237,59.1031390134529,59.5067264573991,56.3397548161121,56.2107623318386,57.1549295774648,52.1643835616438,57.953667953668,57.2093023255814
"69",187,"Odom, Lamar","LAL",702.6333,1345,1345,1538,1368,114.3494,101.71,12.6394,251,248,486,453,0.3565,0.6621,363.3667,687,687,714,727,103.9301,105.8224,-1.8923,113,125,250,265,0.2989,0.6667,14.5317,0.0576,-0.0046,692.625292641196,79.9241274658574,73.7519460300986,83.5830618892508,80.410094637224,75.3811659192825,70.8071748878924,36.6768826619965,37.4035874439462,37.6338028169014,39.8356164383562,37.7992277992278,39.4186046511628
"85",245,"Ariza, Trevor","LAL",689.6667,1299,1308,1447,1348,111.3934,103.0581,8.3353,237,240,469,457,0.3415,0.6615,376.3333,733,724,805,747,109.8226,103.1768,6.6459,127,133,267,261,0.3273,0.6675,1.6894,0.0142,-0.006,690.843034455911,75.7814871016692,72.8178515827711,79.4788273615635,78.1388012618297,73.0941704035874,71.3452914798206,40.2626970227671,38.2107623318386,41.1830985915493,41.8082191780822,39.7683397683398,38.953488372093
"42",103,"Fisher, Derek","LAL",608.35,1153,1159,1279,1184,110.928,102.157,8.771,208,217,413,403,0.3404,0.6556,457.65,879,873,973,911,110.694,104.3528,6.3412,156,156,323,315,0.3312,0.6743,2.4298,0.0092,-0.0187,684.733406010612,68.133535660091,65.158277114686,70.9771986970684,71.608832807571,65.5605381165919,64.0807174887892,46.8826619964974,44.8295964125561,48.5352112676056,47.4794520547945,46.2548262548263,45.2325581395349
"157",599,"Redick, J.J.","ORL",326.8,612,608,643,619,105.0654,101.8092,3.2561,96,93,227,231,0.2936,0.7094,840.2,1550,1560,1684,1664,108.6452,106.6667,1.9785,255,260,562,556,0.3144,0.6837,1.2776,-0.0208,0.0257,678.047772997433,39.1805766312595,38.7701089776855,38.14332247557,36.403785488959,40.5381165919283,40.9417040358744,74.899299474606,75.219730941704,73.6338028169014,73.1232876712329,73.9382239382239,73.2558139534884
"114",337,"Johnson, Anthony","ORL",279.55,506,511,544,526,107.5099,102.9354,4.5745,80,77,198,175,0.3137,0.72,887.45,1656,1657,1783,1757,107.6691,106.035,1.6341,271,276,591,612,0.3069,0.6817,2.9404,0.0068,0.0383,674.055946004557,34.6737481031866,34.4265697976129,33.4527687296417,31.8611987381703,36.6367713004484,33.4080717488789,78.800350262697,78.9730941704036,77.6901408450704,77.0684931506849,77.2972972972973,79.7674418604651
"186",702,"Gortat, Marcin","ORL",270.55,503,522,573,529,113.9165,101.341,12.5755,85,71,192,170,0.3333,0.73,896.45,1659,1646,1754,1754,105.7263,106.5614,-0.835,266,282,597,617,0.3012,0.6792,13.4105,0.0321,0.0508,674.023163834582,35.9939301972686,34.566683964712,34.9185667752443,30.1577287066246,35.8295964125561,32.7354260089686,77.6576182136602,78.8520179372197,76.4225352112676,78.5479452054795,77.992277992278,80.3488372093023
"73",194,"Bynum, Andrew","LAL",381.2833,721,714,770,739,106.7961,103.5014,3.2947,117,135,269,268,0.3039,0.6658,684.7167,1311,1318,1482,1356,113.0435,102.8832,10.1603,247,238,467,450,0.3544,0.6624,-6.8656,-0.0505,0.0034,666.969789475075,44.9620637329287,44.3746756616502,44.299674267101,48.3280757097792,46.1883408071749,45.9192825112108,66.9395796847636,62.7892376681614,71.6056338028169,67.6986301369863,62.9343629343629,60.9302325581395
"57",144,"Battie, Tony","ORL",128.3833,237,242,255,264,107.5949,109.0909,-1.496,39,39,85,74,0.3451,0.6855,1038.6167,1925,1926,2072,2019,107.6364,104.8287,2.8077,312,314,704,713,0.3044,0.6916,-4.3037,0.0407,-0.0061,663.624711463547,21.5174506828528,22.1899325376232,21.4332247557003,21.0725552050473,21.4349775784753,19.8206278026906,90.1882661996497,89.5470852017937,88.0845070422535,86.4383561643836,90.3861003861004,91.5116279069767
"130",459,"Walton, Luke","LAL",316.5167,604,602,656,618,108.6093,102.6578,5.9515,106,111,223,219,0.3262,0.6677,749.4833,1428,1430,1596,1477,111.7647,103.2867,8.478,258,262,513,499,0.3408,0.6619,-2.5265,-0.0146,0.0058,662.417859369983,39.7723823975721,38.7234042553192,41.0749185667752,41.5141955835962,40,39.3273542600897,71.4316987740806,67.6726457399103,74.3943661971831,73.6164383561644,68.2625482625483,66.6279069767442
"61",158,"Nelson, Jameer","ORL",89.8,162,161,168,181,103.7037,112.4224,-8.7187,32,27,56,61,0.3441,0.6747,1077.2,2000,2007,2159,2102,107.95,104.7334,3.2166,319,326,733,726,0.3053,0.6922,-11.9353,0.0388,-0.0175,661.060616877538,17.556904400607,18.3134405812143,19.3811074918567,17.6656151419558,17.5336322869955,18.0717488789238,93.6164623467601,92.8968609865471,89.8591549295775,89.3972602739726,93.7451737451737,93.0232558139535
"147",560,"Brown, Shannon","LAL",261.6,504,504,568,535,112.6984,106.1508,6.5476,97,91,190,182,0.3477,0.6762,804.4,1528,1528,1684,1560,110.2094,102.0942,8.1152,267,282,546,536,0.3325,0.6594,-1.5676,0.0152,0.0168,658.956880210756,35.7663125948407,34.8469122989102,38.4364820846906,35.8359621451104,35.5605381165919,34.3497757847534,74.899299474606,71.0224215246637,76.6760563380282,78.5479452054795,72.0849420849421,70.9302325581395
"151",575,"Farmar, Jordan","LAL",253.6667,485,481,524,489,108.0412,101.6632,6.378,79,88,179,177,0.3086,0.6704,812.3333,1547,1551,1728,1606,111.7001,103.5461,8.154,285,285,557,541,0.345,0.6615,-1.776,-0.0364,0.0089,657.273289257353,33.763277693475,32.6984950700571,33.1596091205212,34.9842271293375,34.0807174887892,33.6771300448431,76.6330998248687,72.8789237668161,81.2394366197183,79.2876712328767,73.3590733590734,71.5116279069767
"72",193,"Vujacic, Sasha","LAL",246.6333,491,489,520,518,105.9063,105.9305,-0.0242,84,76,177,173,0.3268,0.6996,819.3667,1541,1543,1732,1577,112.3945,102.2035,10.191,280,297,559,545,0.3394,0.653,-10.2152,-0.0126,0.0466,657.072604831387,33.5811836115326,34.0529320186819,34.6254071661238,31.5772870662461,33.8116591928251,33.1390134529148,76.7907180385289,71.7085201793722,79.9718309859155,82.2465753424658,73.5907335907336,71.9767441860465
