2013 rank,2012 rank,Year-on-year change,Institution,Country,Academic Reputation Score,Employer Reputation Score,Faculty Student Score,Citations Per Faculty Score,International Faculty Score,International Students Score,Overall Score,Link to profile on QS
1,1,0,Massachusetts Institute of Technology (MIT),United States,100,100,100,99.7,97.6,96.3,100,http://www.topuniversities.com/node/4179/Massachusetts+Institute+of+Technology+%28MIT%29
2,3,1,Harvard University,United States,100,100,99.3,100,94.1,85.3,99.2,http://www.topuniversities.com/node/2547/Harvard+University
3,2,-1,University of Cambridge,United Kingdom,100,100,99.6,95.8,95.5,96,99,http://www.topuniversities.com/node/2249/University+of+Cambridge
4,4,0,UCL (University College London),United Kingdom,99.9,98.7,98.9,95.6,96.5,100,98.9,http://www.topuniversities.com/node/2820/UCL+%28University+College+London%29
5,6,1,Imperial College London,United Kingdom,99.9,100,99.8,92.5,99.9,99.9,98.8,http://www.topuniversities.com/node/2803/Imperial+College+London
6,5,-1,University of Oxford,United Kingdom,100,100,100,93.1,97.7,96.7,98.7,http://www.topuniversities.com/node/2106/University+of+Oxford
7,15,8,Stanford University,United States,100,100,94.4,100,75.6,76,96.8,http://www.topuniversities.com/node/9069/Stanford+University
8,7,-1,Yale University,United States,100,100,100,88.8,94.4,72.7,96.5,http://www.topuniversities.com/node/9201/Yale+University
9,8,-1,University of Chicago,United States,99.9,94.3,96.2,97.8,78.8,74.9,96.2,http://www.topuniversities.com/node/2274/University+of+Chicago
10=,10,0,California Institute of Technology (Caltech),United States,99.6,69.2,100,100,92.2,87.7,96.1,http://www.topuniversities.com/node/2248/California+Institute+of+Technology+%28Caltech%29
10=,9,-1,Princeton University,United States,100,95.1,96.3,98.8,76.3,68.8,96.1,http://www.topuniversities.com/node/4546/Princeton+University
12,13,1,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,99.9,97.9,76.5,94.9,100,98.4,94.3,http://www.topuniversities.com/node/2382/ETH+Zurich+%28Swiss+Federal+Institute+of+Technology%29
13,12,-1,University of Pennsylvania,United States,98.4,93.8,99.9,92.7,55,69.8,93.8,http://www.topuniversities.com/node/4465/University+of+Pennsylvania
14,11,-3,Columbia University,United States,100,100,95.9,96.8,16.2,78.8,93.6,http://www.topuniversities.com/node/2291/Columbia+University
15,14,-1,Cornell University,United States,99.8,97.8,75.1,99.2,87.8,64.6,92.5,http://www.topuniversities.com/node/2296/Cornell+University
16,16,0,Johns Hopkins University,United States,96,64.1,100,97.8,78.9,69.7,92.1,http://www.topuniversities.com/node/2641/Johns+Hopkins+University
17=,21,4,University of Edinburgh,United Kingdom,99.7,98.3,75.1,84.5,89.8,97.3,91.3,http://www.topuniversities.com/node/2332/University+of+Edinburgh
17=,19,2,University of Toronto,Canada,99.9,95.9,78.8,82.2,97.7,86.8,91.3,http://www.topuniversities.com/node/9109/University+of+Toronto
19=,29,10,Ecole Polytechnique FÌ©dÌ©rale de Lausanne,Switzerland,87.9,88.3,94.5,88.2,100,100,90.9,http://www.topuniversities.com/node/2329/Ecole+Polytechnique+F%C3%A9d%C3%A9rale+de+Lausanne
19=,26,7,King's College London (KCL),United Kingdom,94.6,93.7,89.9,79.3,93.9,96.6,90.9,http://www.topuniversities.com/node/2805/King%27s+College+London+%28KCL%29
21,18,-3,McGill University,Canada,99.1,95.7,90.2,72.2,81.1,90.2,90.6,http://www.topuniversities.com/node/4165/McGill+University
22,17,-5,University of Michigan,United States,99.8,95,92.7,88.7,44,45.9,90.5,http://www.topuniversities.com/node/4172/University+of+Michigan
23,20,-3,Duke University,United States,96.2,85.8,99.9,98.4,16.4,44.4,90.1,http://www.topuniversities.com/node/2320/Duke+University
24,25,1,National University of Singapore (NUS),Singapore,100,99.9,89.1,57.3,100,96.6,89.4,http://www.topuniversities.com/node/4234/National+University+of+Singapore+%28NUS%29
25,22,-3,"University of California, Berkeley (UCB)",United States,100,100,52.1,98.9,93.9,74.7,89,http://www.topuniversities.com/node/2238/University+of+California%2C+Berkeley+%28UCB%29
26,23,-3,University of Hong Kong,Hong Kong,99.4,93.1,94.7,51.7,100,98.7,88.6,http://www.topuniversities.com/node/2563/University+of+Hong+Kong
27,24,-3,Australian National University,Australia,99.7,92.4,83.4,63.2,99.9,94.1,88.5,http://www.topuniversities.com/node/2194/Australian+National+University
